Item name,Price,Quantity,Category,Image 1,Item id
Coca-Cola Original Taste 330g,0.99,40,Soft Drinks • Water • Shakes,https://images.sumup.com/img_C8AC2DF1B9B46957A169C74341,550e8400-e29b-41d4-a716-446655400001
Coca-Cola Original Taste 500g,1.29,38,Soft Drinks • Water • Shakes,https://images.sumup.com/img_C8AC2DF1B9B46957A169C74341,550e8400-e29b-41d4-a716-446655400002
Coca-Cola Original Taste 1000ml,1.99,8,Soft Drinks • Water • Shakes,https://images.sumup.com/img_C8AC2DF1B9B46957A169C74341,550e8400-e29b-41d4-a716-446655400003
Coca-Cola Original Taste 1500ml,2.49,1,Soft Drinks • Water • Shakes,https://images.sumup.com/img_C8AC2DF1B9B46957A169C74341,550e8400-e29b-41d4-a716-446655400004
Pepsi Max 330g,0.99,1,Soft Drinks • Water • Shakes,https://images.sumup.com/img_F927025BF121F05D9F34C516ED,550e8400-e29b-41d4-a716-446655400005
Pepsi Max 500g,1.29,5,Soft Drinks • Water • Shakes,https://images.sumup.com/img_F927025BF121F05D9F34C516ED,550e8400-e29b-41d4-a716-446655400006
Pepsi Max 1500ml,2.49,37,Soft Drinks • Water • Shakes,https://images.sumup.com/img_F927025BF121F05D9F34C516ED,550e8400-e29b-41d4-a716-446655400007
Fanta Orange 330g,0.89,11,Soft Drinks • Water • Shakes,https://images.sumup.com/img_65C05F4EF12B1B46037D56E15C,550e8400-e29b-41d4-a716-446655400008
Fanta Orange 500g,1.19,7,Soft Drinks • Water • Shakes,https://images.sumup.com/img_65C05F4EF12B1B46037D56E15C,550e8400-e29b-41d4-a716-446655400009
Sprite Zero 330g,0.99,44,Soft Drinks • Water • Shakes,https://images.sumup.com/img_0D5E19187F0029B1EE968973BE,550e8400-e29b-41d4-a716-446655400010
Sprite Zero 500g,1.29,13,Soft Drinks • Water • Shakes,https://images.sumup.com/img_0D5E19187F0029B1EE968973BE,550e8400-e29b-41d4-a716-446655400011
Dr Pepper 330g,1.09,9,Soft Drinks • Water • Shakes,https://images.sumup.com/img_5A2BE0DB2A48E3A257C8CC5862,550e8400-e29b-41d4-a716-446655400012
Dr Pepper 500g,1.39,23,Soft Drinks • Water • Shakes,https://images.sumup.com/img_5A2BE0DB2A48E3A257C8CC5862,550e8400-e29b-41d4-a716-446655400013
7UP Lemon & Lime 330g,0.89,4,Soft Drinks • Water • Shakes,https://images.sumup.com/img_2EE5840C251F251ADCFB71645A,550e8400-e29b-41d4-a716-446655400014
7UP Lemon & Lime 500g,1.19,44,Soft Drinks • Water • Shakes,https://images.sumup.com/img_2EE5840C251F251ADCFB71645A,550e8400-e29b-41d4-a716-446655400015
Tango Orange 330g,0.95,0,Soft Drinks • Water • Shakes,https://images.sumup.com/img_6201765488D6EBA9734CB8E1D8,550e8400-e29b-41d4-a716-446655400016
Rio Tropical 330g,1.05,40,Soft Drinks • Water • Shakes,https://images.sumup.com/img_D637AE5D09D251340B458F09F7,550e8400-e29b-41d4-a716-446655400017
Irn-Bru Original 330g,0.99,24,Soft Drinks • Water • Shakes,https://images.sumup.com/img_4C02A1EF85F010334BCF5E86ED,550e8400-e29b-41d4-a716-446655400018
Irn-Bru Original 500g,1.29,35,Soft Drinks • Water • Shakes,https://images.sumup.com/img_4C02A1EF85F010334BCF5E86ED,550e8400-e29b-41d4-a716-446655400019
Vimto Original 330g,0.89,7,Soft Drinks • Water • Shakes,https://images.sumup.com/img_36C455DA42CC82F8E223B687A4,550e8400-e29b-41d4-a716-446655400020
Vimto Original 500g,1.19,12,Soft Drinks • Water • Shakes,https://images.sumup.com/img_36C455DA42CC82F8E223B687A4,550e8400-e29b-41d4-a716-446655400021
Evian Natural Mineral Water 500g,0.99,38,Soft Drinks • Water • Shakes,https://images.sumup.com/img_B9A5DCDA7F1A8F7699197641B8,550e8400-e29b-41d4-a716-446655400022
Evian Natural Mineral Water 750g,1.19,50,Soft Drinks • Water • Shakes,https://images.sumup.com/img_B9A5DCDA7F1A8F7699197641B8,550e8400-e29b-41d4-a716-446655400023
Evian Natural Mineral Water 1000ml,1.39,33,Soft Drinks • Water • Shakes,https://images.sumup.com/img_B9A5DCDA7F1A8F7699197641B8,550e8400-e29b-41d4-a716-446655400024
Evian Natural Mineral Water 1500ml,1.79,1,Soft Drinks • Water • Shakes,https://images.sumup.com/img_B9A5DCDA7F1A8F7699197641B8,550e8400-e29b-41d4-a716-446655400025
Volvic Touch of Fruit 500g,1.09,15,Soft Drinks • Water • Shakes,https://images.sumup.com/img_49340E41983CB5FE588027D984,550e8400-e29b-41d4-a716-446655400026
Volvic Touch of Fruit 1500ml,1.99,45,Soft Drinks • Water • Shakes,https://images.sumup.com/img_49340E41983CB5FE588027D984,550e8400-e29b-41d4-a716-446655400027
Highland Spring Water 500g,0.89,1,Soft Drinks • Water • Shakes,https://images.sumup.com/img_3E82E1A065040FECB2DD0D7C24,550e8400-e29b-41d4-a716-446655400028
Highland Spring Water 1500ml,1.69,15,Soft Drinks • Water • Shakes,https://images.sumup.com/img_3E82E1A065040FECB2DD0D7C24,550e8400-e29b-41d4-a716-446655400029
San Pellegrino Sparkling 330g,1.29,30,Soft Drinks • Water • Shakes,https://images.sumup.com/img_EF821076AACE2D87E79B3C3A25,550e8400-e29b-41d4-a716-446655400030
San Pellegrino Sparkling 500g,1.79,50,Soft Drinks • Water • Shakes,https://images.sumup.com/img_EF821076AACE2D87E79B3C3A25,550e8400-e29b-41d4-a716-446655400031
Perrier Sparkling Water 330g,1.19,35,Soft Drinks • Water • Shakes,https://images.sumup.com/img_DC6ED9C2AD506AC7DFAB5B512F,550e8400-e29b-41d4-a716-446655400032
Perrier Sparkling Water 750g,2.29,45,Soft Drinks • Water • Shakes,https://images.sumup.com/img_DC6ED9C2AD506AC7DFAB5B512F,550e8400-e29b-41d4-a716-446655400033
Monster Energy Original 500g,1.89,35,Energy Drinks,https://images.sumup.com/img_7B1260DC748030ABA2C352ED15,550e8400-e29b-41d4-a716-446655400034
Monster Energy Ultra 500g,1.89,22,Energy Drinks,https://images.sumup.com/img_582BDE5B67C5FAB2BC77984FAF,550e8400-e29b-41d4-a716-446655400035
Red Bull Energy Drink 250g,1.69,8,Energy Drinks,https://images.sumup.com/img_0454C4D8E69D0BC90871FF2A35,550e8400-e29b-41d4-a716-446655400036
Red Bull Energy Drink 355g,2.29,35,Energy Drinks,https://images.sumup.com/img_0454C4D8E69D0BC90871FF2A35,550e8400-e29b-41d4-a716-446655400037
Red Bull Energy Drink 473g,2.99,35,Energy Drinks,https://images.sumup.com/img_0454C4D8E69D0BC90871FF2A35,550e8400-e29b-41d4-a716-446655400038
Red Bull Sugar Free 250g,1.69,11,Energy Drinks,https://images.sumup.com/img_DB4A364D2EEEF3C46037EEE882,550e8400-e29b-41d4-a716-446655400039
Red Bull Sugar Free 355g,2.29,43,Energy Drinks,https://images.sumup.com/img_DB4A364D2EEEF3C46037EEE882,550e8400-e29b-41d4-a716-446655400040
Lucozade Energy Original 380g,1.39,42,Energy Drinks,https://images.sumup.com/img_E81F410AB2A0C5E24E3DD2F6A5,550e8400-e29b-41d4-a716-446655400041
Lucozade Energy Original 500g,1.69,39,Energy Drinks,https://images.sumup.com/img_E81F410AB2A0C5E24E3DD2F6A5,550e8400-e29b-41d4-a716-446655400042
Lucozade Sport Orange 500g,1.49,48,Energy Drinks,https://images.sumup.com/img_B68001C2DB1EA5C379D7A71D88,550e8400-e29b-41d4-a716-446655400043
Relentless Origin 500g,1.79,0,Energy Drinks,https://images.sumup.com/img_E9B658A3EF56C7217B34B78936,550e8400-e29b-41d4-a716-446655400044
Rockstar Energy 500g,1.69,30,Energy Drinks,https://images.sumup.com/img_76D4C2CBE3AEB8B530C03C2DE3,550e8400-e29b-41d4-a716-446655400045
Cadbury Dairy Milk 45g,0.79,46,Chocolate • Sweets • Treats,https://images.sumup.com/img_392AA1EB4872B3B4B550E1649E,550e8400-e29b-41d4-a716-446655400046
Cadbury Dairy Milk 110g,1.99,49,Chocolate • Sweets • Treats,https://images.sumup.com/img_392AA1EB4872B3B4B550E1649E,550e8400-e29b-41d4-a716-446655400047
Cadbury Dairy Milk 180g,3.49,14,Chocolate • Sweets • Treats,https://images.sumup.com/img_392AA1EB4872B3B4B550E1649E,550e8400-e29b-41d4-a716-446655400048
Cadbury Dairy Milk 360g,6.99,23,Chocolate • Sweets • Treats,https://images.sumup.com/img_392AA1EB4872B3B4B550E1649E,550e8400-e29b-41d4-a716-446655400049
Galaxy Smooth Milk 42g,0.75,7,Chocolate • Sweets • Treats,https://images.sumup.com/img_3807ACE52E7F022BDDA5C47D5C,550e8400-e29b-41d4-a716-446655400050
Galaxy Smooth Milk 110g,1.99,9,Chocolate • Sweets • Treats,https://images.sumup.com/img_3807ACE52E7F022BDDA5C47D5C,550e8400-e29b-41d4-a716-446655400051
Galaxy Smooth Milk 200g,3.49,21,Chocolate • Sweets • Treats,https://images.sumup.com/img_3807ACE52E7F022BDDA5C47D5C,550e8400-e29b-41d4-a716-446655400052
Galaxy Smooth Milk 390g,6.99,31,Chocolate • Sweets • Treats,https://images.sumup.com/img_3807ACE52E7F022BDDA5C47D5C,550e8400-e29b-41d4-a716-446655400053
Mars Bar 51g,0.79,41,Chocolate • Sweets • Treats,https://images.sumup.com/img_EC5B65A5F3766E1DB0906478CA,550e8400-e29b-41d4-a716-446655400054
Snickers Bar 48g,0.79,22,Chocolate • Sweets • Treats,https://images.sumup.com/img_47045FE4E52EF94E0289EA7518,550e8400-e29b-41d4-a716-446655400055
Snickers Bar 75g,1.29,49,Chocolate • Sweets • Treats,https://images.sumup.com/img_47045FE4E52EF94E0289EA7518,550e8400-e29b-41d4-a716-446655400056
Twix Twin Bar 50g,0.79,44,Chocolate • Sweets • Treats,https://images.sumup.com/img_3C7D4EC7F9812755981B158330,550e8400-e29b-41d4-a716-446655400057
Twix Twin Bar 75g,1.29,47,Chocolate • Sweets • Treats,https://images.sumup.com/img_3C7D4EC7F9812755981B158330,550e8400-e29b-41d4-a716-446655400058
Kit Kat 4 Finger 41.5g,0.69,6,Chocolate • Sweets • Treats,https://images.sumup.com/img_4CA3909DB966231B8AEEE8B1C4,550e8400-e29b-41d4-a716-446655400059
Kit Kat 4 Finger 112g,1.99,41,Chocolate • Sweets • Treats,https://images.sumup.com/img_4CA3909DB966231B8AEEE8B1C4,550e8400-e29b-41d4-a716-446655400060
Milkybar White Chocolate 25g,0.59,27,Chocolate • Sweets • Treats,https://images.sumup.com/img_60800AF4FB074B866660B774C3,550e8400-e29b-41d4-a716-446655400061
Milkybar White Chocolate 100g,1.99,28,Chocolate • Sweets • Treats,https://images.sumup.com/img_60800AF4FB074B866660B774C3,550e8400-e29b-41d4-a716-446655400062
Kinder Bueno 43g,0.89,38,Chocolate • Sweets • Treats,https://images.sumup.com/img_25CA536F2CE7FBE14B2651E5CE,550e8400-e29b-41d4-a716-446655400063
